title,price,Rating,RAM,Display,Camera,Battery,Processor,Warranty
"HMD VIBE2 5G (Nordic Blue, 128 GB)","₹16,999",4.5,6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Li-Poly Battery,1-year manufacturer warranty,
"realme P4R 5G (Silver Glare, 128 GB)","₹18,999",4.4,4 GB RAM | 128 GB ROM,17.27 cm (6.8 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,8000 mAh Lithium-ion polymer Battery,Dimensity 6300 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Samsung Galaxy F07 (Green, 64 GB)","₹9,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,43.23 cm (17.018 cm) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G99 Processor,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"Samsung Galaxy F70e 5G (Limelight Green, 128 GB)","₹12,999",4.2,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Li-ion Battery,Dimensity 6300 Processor,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"vivo T5x 5G (Cyber Green, 256 GB)","₹26,999",4.4,8 GB RAM | 256 GB ROM,17.17 cm (6.76 inch) Display,50MP + 2MP | 32MP Front Camera,7200 mAh Li-ion Battery,Dimensity 7400-Turbo Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"realme P4 Lite 5G (Mosaic Blue, 128 GB)","₹17,499",4.3,4 GB RAM | 128 GB ROM,17.27 cm (6.8 inches) HD+ Display,13MP Rear Camera | 5MP Front Camera,7000 mAh lithium-ion polymer Battery,Dimensity 6300 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"HMD VIBE2 5G (Nordic Blue, 128 GB)","₹16,999",4.5,6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Li-Poly Battery,1-year manufacturer warranty,
"REDMI Note 15 SE 5G Snapdragon (Carbon Black, 128 GB)","₹21,999",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.2 cm (6.77 inch) Full HD+ AMOLED Display,50MP Rear Camera | 20MP Front Camera,5800 mAh Lithium-Ion Polymer Battery,Snapdragon 6 Gen 3 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"HMD Vibe2 5G (Peach Pink, 128 GB)","₹14,999",4.6,4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Li-Poly Battery,1-year manufacturer warranty,
"Samsung Galaxy F36 5G (Black, 128 GB)","₹17,999",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,Samsung Exynos 1380 Processor,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"Samsung M06 5G (Blazing Black, 128 GB)","₹12,047",4.1,4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,
"Ai+ Pulse 2 (Purple, 64 GB)","₹10,499",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,T7250 Processor,1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
"OPPO K14 5G (Icy Blue, 256 GB)","₹21,999",4.4,6 GB RAM | 256 GB ROM,17.14 cm (6.75 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,Dimensity 6300 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
MOTOROLA Moto A100,"₹1,087",3.9,4 MB RAM | 36 MB ROM | Expandable Upto 0 MB,3.66 cm (1.44 inch) HQVGA Display,0MP | 0MP Front Camera,800 mAh Battery,Mtk Processor,2 Years Domestic Replacement Warranty
