product_name,price,rating,ram_rom,display_size,camera,battery,processor,warranty,full_description,page,price_clean,rating_clean
N/A,"₹9,999",N/A,4 gb ram | 64 gb,43.23 cm,50mp + 2mp | 8mp front camera,5000 mah,helio,1 year,"Samsung Galaxy F07 (Green, 64 GB)4.37,691 Ratings & 453 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 2 TB43.23 cm (17.018 cm) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G99 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories",1,9999.0,
N/A,"₹12,999",N/A,4 gb ram | 128 gb,17.12 cm,50mp + 2mp | 8mp front camera,6000 mah,dimensity,1 year,"Samsung Galaxy F70e 5G (Limelight Green, 128 GB)4.24,075 Ratings & 327 Reviews4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Li-ion BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories",1,12999.0,
N/A,"₹26,999",N/A,8 gb ram | 256 gb,17.17 cm,50mp + 2mp | 32mp front camera,7200 mah,dimensity,1 year,"vivo T5x 5G (Cyber Green, 256 GB)4.414,313 Ratings & 966 Reviews8 GB RAM | 256 GB ROM17.17 cm (6.76 inch) Display50MP + 2MP | 32MP Front Camera7200 mAh Li-ion BatteryDimensity 7400-Turbo Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",1,26999.0,
N/A,"₹14,999",N/A,4 gb ram | 128 gb,17.02 cm,50mp rear camera,6000 mah,N/A,N/A,"HMD Vibe2 5G (Peach Pink, 128 GB)4.62,967 Ratings & 264 Reviews4 GB RAM | 128 GB ROM17.02 cm (6.7 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh Li-Poly Battery1-year manufacturer warranty",1,14999.0,
N/A,"₹17,499",N/A,4 gb ram | 128 gb,17.27 cm,13mp rear camera,7000 mah,dimensity,1 year,"realme P4 Lite 5G (Mosaic Blue, 128 GB)4.37,817 Ratings & 403 Reviews4 GB RAM | 128 GB ROM17.27 cm (6.8 inches) HD+ Display13MP Rear Camera | 5MP Front Camera7000 mAh lithium-ion polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",1,17499.0,
N/A,"₹10,499",N/A,4 gb ram | 64 gb,17.13 cm,50mp rear camera,6000 mah,N/A,1 year,"Ai+ Pulse 2 (Purple, 64 GB)4.34,156 Ratings & 182 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh BatteryT7250 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories",1,10499.0,
N/A,"₹17,999",N/A,6 gb ram | 128 gb,17.02 cm,50mp + 8mp + 2mp | 13mp front camera,5000 mah,exynos,1 year,"Samsung Galaxy F36 5G (Black, 128 GB)4.311,609 Ratings & 790 Reviews6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatterySamsung Exynos 1380 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories",1,17999.0,
N/A,"₹12,000",N/A,4 gb ram | 128 gb,17.02 cm,50mp rear camera,5000 mah,N/A,1 year,"Samsung M06 5G (Sage Green, 128 GB)4.13,325 Ratings & 192 Reviews4 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",1,12000.0,
N/A,"₹14,999",N/A,4 gb ram | 128 gb,17.02 cm,50mp rear camera,6000 mah,N/A,N/A,"HMD Vibe2 5G (Nordic Blue, 128 GB)4.62,967 Ratings & 264 Reviews4 GB RAM | 128 GB ROM17.02 cm (6.7 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh Li-Poly Battery1-year manufacturer warranty",1,14999.0,
N/A,"₹22,963",N/A,6 gb ram | 128 gb,17.02 cm,50mp rear camera,7200 mah,N/A,N/A,"IQOO Z11x 5G (Prismatic Green, 128 GB)4.3697 Ratings & 51 Reviews6 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera7200 mAh Battery12 Months Brand Warranty",1,22963.0,
